AIRCRAFT ORIGIN ARRIVAL DESTINATION DEPARTURE AIRLINE
ECMKV LIRP 22:28 - - VLG
ECJGM LEMD 19:13 - - VLG
ECLOB EHAM 19:05 LEMG 20:35 VLG
ECLVC LEGR 08:16 LEIB 09:18 VLG
DALEC EBBR 03:14 EDDP 19:05 BCS
N327UP LEVC 19:48 EDDK 20:45 UPS
ECMKN EDDV 15:57 EPKK 19:05 VLG
DALEN EDDP 03:38 EDDP 19:57 BCS
ECMKT EFHK 19:25 LGAV 21:16 VLG
N920FD LFPG 03:59 - - FDX
OEIBZ EBLG 04:16 LFML 19:56 TAY
EIDPG LEPA 19:53 LEPA 20:45 RYR
ECLTG LFBT 23:19 - - LAV
N761AJ KJFK 05:06 KJFK 08:07 AAL
EIFJP LEPA 14:29 LEPA 15:27 IBK
ECKRH LEMH 09:52 LECO 11:37 VLG
ECLVV LEPA 05:38 LEPA 6:47 VLG
ECLYB LEMH 05:43 LEMH 6:41 AEA
ECLXV LEPA 19:43 LEPA 20:47 AEA
PHXRD EHAM 12:48 EHAM 13:44 TRA
ECMAI LEIB 16:25 UUEE 21:16 VLG
GRAJG EBOS 05:57 EBOS 07:17 JAF
GEZWE LIMC 05:59 LIMC 6:46 EZY
EIFOG LEZL 06:00 LEZL 07:06 RYR
DAIQE EDDS 06:09 EDDS 07:13 GWI
OOJEM EBAW 06:13 EBAW 07:13 JAF
ECLZZ EGKK 22:47 - - VLG
HALXH LHBP 06:18 LHBP 07:18 WZZ
GEZAT LFBD 09:43 LFLL 10:41 EZY
ECMBS LEZL 19:40 LEZL 20:35 VLG
ECJYX LIPX 22:30 - - VLG
DAEBP EDDM 06:24 EDDM 07:08 DLH
OOSSW EBBR 12:58 EBBR 13:56 BEL
VQBTN UUEE 06:28 UUEE 08:04 ABG
OHLZD EFHK 06:30 EFHK 08:27 FIN
DABZA EDDL 17:27 EDDL 18:23 BER
N823NW KATL 06:37 KATL 08:46 DAL
ECMAH LIRF 06:41 LOWW 11:09 VLG
EIENM EDDB 06:42 EDDB 07:37 RYR
ECMBT LEAS 19:30 LEAS 20:15 VLG
ECJQZ LEMD 06:45 LEMD 07:34 IBE
HBIOK LSZH 06:47 LSZH 07:47 SWR
ECMEA LEZL 22:19 - - VLG
ECLZN LKPR 21:25 - - VLG
ECMLM LEVX 22:15 - - VLG
DAGWT EDDV 06:53 EDDV 07:48 GWI
ECJQQ LEMD 06:55 LEMD 10:29 AEA
PHHSK EHEH 06:57 EHEH 07:54 TRA
ECMGE EGGW 21:39 - - VLG
DAIPZ EDDL 06:59 EDDL 07:47 GWI
GEUUC EGLL 07:01 EGLL 08:10 BAW
ECMEQ LFPO 22:08 - - VLG
EIEKL LPPR 07:05 LPPR 07:55 RYR
ECLUL LEMD 07:07 LEMD 07:59 IBE
OELBR LOWW 07:08 LOWW 08:06 AUA
N76054 KEWR 07:10 KEWR 12:08 UAL
EIFIY LIPH 21:58 - - RYR
ECMFM LEZL 07:14 LEZL 08:51 VLG
9VSWD SBGR 07:16 WSSS 08:38 SIA
FGTAZ LFPG 07:19 LFPG 08:18 AFR
OYKBP EKCH 07:22 EKCH 08:32 SAS
ECMHA LIMC 12:10 LFPO 13:18 VLG
DAGWI EDDK 07:25 EDDK 08:17 GWI
ECLLJ LEIB 18:05 LFPO 19:11 VLG
DAIDL EDDF 07:28 EDDF 08:44 DLH
ECJTR LEPA 22:21 - - VLG
EIFRF EIDW 07:32 EIDW 08:28 RYR
GZBAI EGKK 07:34 EGKK 09:00 MON
TCJNZ LTBA 07:36 LTBA 09:56 THY
GEZDU EDDB 07:38 EDDB 08:29 EZY
B5913 LOWW 07:39 LOWW 09:23 CCA
OELED LOWW 07:41 LOWW 08:44 NLY
GZBAH EGBB 07:43 EGBB 09:02 MON
ECMHS GCRR 17:18 LHBP 19:39 VLG
ECLML LEMH 21:36 - - VLG
EIDAM EIDW 20:44 - - RYR
GEZTG EGGD 07:50 EGGD 08:43 EZY
CSTTO LPPT 07:52 LPPT 08:55 TAP
GEZUM LFLL 20:25 - - EZY
EIDEJ EIDW 07:55 EIDW 08:54 EIN
ECMLE LEMH 20:15 LRCL 21:28 VLG
CGHLQ CYUL 08:01 CYYZ 10:02 ROU
ECLZF LEAL 20:29 EVRA 22:06 VLG
CSDXZ LFST 08:07 LIRP 12:51 NJE
GEZPC EGGP 08:08 EGGP 08:58 EZY
PHBXF EHAM 08:11 EHAM 09:10 KLM
EIEBK EGCC 08:15 EGCC 09:23 RYR
EIDPM EGPH 08:18 EGPH 09:08 RYR
ECMBK LIEE 22:49 - - VLG
ECLUN LEBB 20:06 - - VLG
GEZBD EGAA 08:26 EGAA 09:32 EZY
ECLRY EDDM 20:41 UKKK 22:13 VLG
EIEFW EBBR 14:07 EGGP 16:54 RYR
EIDHP EGBB 08:31 EGBB 10:52 RYR
EIDWK LIRF 22:09 - - RYR
YRBGI LROP 08:40 LROP 09:37 ROT
